,Name,Address 1,Address 2,"City, State Zipcode",License No,Issue Date,Expiration Date,Unnamed: 7,lat,long,accuracy,lng
694,Maryland CVS Pharmacy LLC dba CVS Pharmacy #17086,1330 Martin Blvd,,Middle River MD  21220,P07039,12/17/2015,05/31/2024,,39.33512,,1,-76.448577
695,Maryland CVS Pharmacy LLC dba CVS Pharmacy #17102,10401 Martin Luther King Jr Hwy,,Bowie MD  20720,P07038,12/18/2015,05/31/2024,,38.953533,,1,-76.825011
696,Maryland CVS Pharmacy LLC dba CVS Pharmacy #17345,1911 Towne Centre Blvd,,Annapolis MD  21401,P07036,12/22/2015,05/31/2024,,38.980395,,1,-76.541629
697,Maryland CVS Pharmacy LLC dba CVS Pharmacy #17594,2384 Brandermill Blvd,,Gambrills MD  21054,P07032,12/18/2015,05/31/2024,,39.034759,,1,-76.684231
698,Maryland CVS Pharmacy LLC dba CVS Pharmacy #17663,3559 Boston Street,,Baltimore MD  21224,P07031,12/17/2015,05/31/2024,,39.276908,,1,-76.567064
699,Maryland CVS Pharmacy LLC dba CVS Pharmacy #17679,7501 Baltimore Ave,Ste 1,College Park MD  20740,P07030,01/05/2016,05/31/2024,,38.982108,,1,-76.937673
700,"Maryland CVS Pharmacy, LLC",15922  CRAIN HWY SE,,Brandywine MD  20613,P07033,12/23/2015,05/31/2024,,38.672547,,1,-76.872719
701,Maryland Specialty and Compounding Pharmacy LLC dba Professional Arts Pharmacy,3138 Rogers Ave,,Ellicott City MD  21043,P07718,02/28/2018,05/31/2024,,39.284898,,1,-76.810485
702,Masters Specialty Pharmacy,1100 West Patrick Street,,Frederick MD  21702,P07171,09/22/2016,05/31/2024,,39.417116,,1,-77.446525
703,MaxCare Pharmacy,7448 Baltimore Annapolis Blvd,Suite A,Glen Burnie MD  21061,P08343,11/05/2020,05/31/2024,,39.165726,,1,-76.626147
704,MCKAYS PHARMACY,37670 MOHAWK DR,PO BOX 169,CHARLOTTE HALL MD  20622,P01019,01/01/2005,05/31/2024,,38.508935,,1,-76.773597
705,MD GENERAL HOSPITAL PHARMACY,827 Linden Ave,,BALTIMORE MD  21201,P01177,01/24/1985,05/31/2024,,39.299444,,1,-76.620433
706,MD Psychiatric,55 Wade Ave,CORNER OF MAPLE AND LOCUST ST,Catonsville MD  21228,PW0135,02/24/1995,05/31/2024,,39.26509,,1,-76.719439
707,MED ONE PHARMACY D/B/A WOODBINE PHARMACY,710 D Libson Center Drive,,Woodbine MD  21797,P05542,07/20/2011,05/31/2024,,39.402352,,1,-77.081821
708,Med One Pharmacy Inc.dba New Market Pharmacy,11717 Old National Pike,,New Market MD  21774,P07237,09/12/2016,05/31/2024,,39.383706,,1,-77.258201
709,Med. One Pharmacy iNc.,1 North Main Street,,Mount Airy MD  21771,P07238,09/12/2016,05/31/2024,,39.37688,,1,-77.154114
710,Med. One Pharmacy Inc. DBA Boonsboro Pharmacy,7628 Old National Pike,,Boonsboro MD  21713,P05879,01/02/2013,05/31/2024,,39.524705,,1,-77.663167
711,Med. One Pharmacy Inc. DBA Brunswick Pharmacy,610 9th Avenue,,Brunswick MD  21716,P04718,01/04/2008,05/31/2024,,39.316862,,1,-77.611589
712,Med. One Pharmacy Inc. dba Emmitsburg Pharmacy,101 Silo Hill Road,,Emmitsburg MD  21727,P04717,01/04/2008,05/31/2024,,39.703927,,1,-77.318293
713,Med. One Pharmacy Inc. dba Middletown Pharmacy,4317 Old National Pike,,Middletown MD  21769,P05073,09/22/2009,05/31/2024,,39.433874,,1,-77.51823
714,Med.One Pharmacy Inc dba McDougall's Drug Center,1645 Liberty Road,,Sykesville MD  21784,P08300,08/07/2020,05/31/2024,,39.399923,,1,-76.939095
715,MEDICINE SHOPPE 1423,12838 NEW HAMPSHIRE AVE,,SILVER SPRING MD  20904,P01948,02/05/1996,05/31/2024,,39.065848,,1,-77.001044
716,MEDICINE SHOPPE 1802,10313 GEORGIA AVE,,SILVER SPRING MD  20902,P01050,12/15/1983,05/31/2024,,39.024999,,1,-77.045021
717,MEDMERICA DISCOUNT PHARMACY,5003 RITCHIE HIGHWAY,,BROOKLYN MD  21225,P04195,07/06/2005,05/31/2024,,39.225228,,1,-76.612437
718,Medmerica Pharmacy of Middle River,28 Kingston Rd,,Middle River MD  21220,P08436,04/30/2021,05/31/2024,,39.327375,,1,-76.440353
719,MEDNOVATIONS INC,316 TALBOTT AVE,SUITE B,LAUREL MD  20707,PW0210,05/14/2003,05/31/2024,,39.099852,,1,-76.84955
720,"MedOne Pharmacy Inc, dba Thurmont Pharmacy",58 Water Street,,Thurmont MD  21788,P04716,01/04/2008,05/31/2024,,39.621954,,1,-77.411206
721,MedPlus Infusion Pharmacy LLC,1 Easter Court,Suites G & H,Owings Mills MD  21117,PW0533,10/30/2020,05/31/2024,,39.420456,,1,-76.808702
722,"Medspack MD, LLC dba Foers Long Term Care Pharmacy",1300 PICCARD DR,LL-16,ROCKVILLE MD  20850,PW0537,07/23/2021,05/31/2024,,39.102237,,1,-77.178544
723,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,9000 FRANKLIN SQ DR,,BALTIMORE MD  21237,P00243,01/01/1980,05/31/2024,,39.350958,,1,-76.481043
724,MEDSTAR FRANKLIN SQUARE ONCOLOGY CENTER AT LOCH RAVEN CAMPUS,5601 LOCH RAVEN BLVD- RMB,SUITE 103,Baltimore MD  21239,PW0505,04/18/2017,05/31/2024,,39.357742,,1,-76.586841
725,MEDSTAR FRANKLIN SQUARE ONCOLOGY RX,9103 FRANKLIN SQUARE DR,,BALTIMORE MD  21237,PW0281,09/20/2006,05/31/2024,,39.350078,,1,-76.477322
726,MEDSTAR GOOD SAMARITAN HOSPITAL,5601 LOCH RAVEN BLVD,,BALTIMORE MD  21239,P00295,01/22/1920,05/31/2024,,39.357742,,1,-76.586841
727,MEDSTAR HARBOR HOSPITAL IN PATIENT RX,3001 S HANOVER ST,,BALTIMORE MD  21225,P00758,01/01/1904,05/31/2024,,39.251885,,1,-76.613987
728,MEDSTAR MONTGOMERY MEDICAL CENTER,18101 PRINCE PHILIP DR,,OLNEY MD  20832,P00455,05/29/1918,05/31/2024,,39.153879,,1,-77.054225
729,MEDSTAR PHARMACY AT RAVENS STADIUM,1101 RUSSELL ST,,Baltimore MD  21201,PW0486,09/18/2015,05/31/2024,,39.277778,,0.95,-76.622665
730,MEDSTAR PHARMACY STORE # 12,9000 Franklin Square Drive,,Rosedale MD  21237,P07637,09/13/2017,05/31/2024,,39.350958,,1,-76.481043
731,MEDSTAR PHARMACY STORE #3,5601 LOCH RAVEN BLVD,,BALTIMORE MD  21239,P02035,12/30/1996,05/31/2024,,39.357742,,1,-76.586841
732,MEDSTAR PHARMACY STORE #4,201 E UNIVERSITY PKWY,,BALTIMORE MD  21218,P02070,07/14/1997,05/31/2024,,39.329296,,1,-76.614321
733,MEDSTAR PHARMACY STORE #6,3001 S HANOVER STREET,,BALTIMORE MD  21225,P04034,06/28/2004,05/31/2024,,39.251885,,1,-76.613987
734,MEDSTAR PHARMACY STORE #7,3305 N. LEISURE WORLD BLVD,,Silver Spring MD  20906,P05881,12/28/2012,05/31/2024,,39.109013,,1,-77.065364
735,"MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER, INC",7503 SURRATTS ROAD,,Clinton MD  20735,P05871,12/10/2012,05/31/2024,,38.74815,,1,-76.875624
736,MedStar Specialty Pharmacy LLC,7379 Washington Blvd,Suite 101,Elkridge MD  21075,P08187,05/11/2020,05/31/2024,,39.180882,,1,-76.763879
737,MEDSTAR UNION MEMORIAL HOSPITAL,201 E UNIVERSITY PKWY,,BALTIMORE MD  21218,P00797,01/01/1954,05/31/2024,,39.329296,,1,-76.614321
738,"MedventurePartners, LLC dba MVPRX",4000 Mitchellville Rd,Suite 406,Bowie MD  20716,P08180,12/19/2019,05/31/2024,,38.945666,,1,-76.723121
739,Melorejuvenation & Meloweighloss LLC dba Best Pharmacy,6869 New Hampshire Ave,,Takoma Park MD  20912,P08684,12/14/2022,05/31/2024,,38.972866,,1,-76.994417
740,MEMORIAL HOSPITAL PHARMACY,219 S WASHINGTON ST,PHARMACY DEPARTMENT,EASTON MD  21601,P00450,01/01/1906,05/31/2024,,38.769703,,1,-76.076966
741,MENDEL PHARMACY,1264 BENNING ROAD,,Capitol Heights MD  20743,P05833,12/21/2012,05/31/2024,,38.873496,,1,-76.928624
742,MERCY MEDICAL CENTER PHARMACY,301 ST  PAUL PLACE,DIRECTOR OF PHARMACY,BALTIMORE MD  21202,P00452,01/01/1977,05/31/2024,,39.292991,,1,-76.613076
743,MERITUS MEDICAL CENTER,11116 MEDICAL CAMPUS RD,,HAGERSTOWN MD  21742,P05399,10/01/2010,05/31/2024,,39.62258,,1,-77.685514
744,Meritus Pharmacy,11116 Medical Campus,Ste 2460,Hagerstown MD  21742,P08526,01/06/2022,05/31/2024,,39.62258,,1,-77.685514
745,MERRITT STAR PHARMACY,1576 MERRITT BLVD  SUITE 12,,Baltimore MD  21222,P05831,12/12/2012,05/31/2024,,39.274181,,1,-76.504285
746,MIDAS RX PHARMACY LLC,700 WASHINGTON BOULEVARD,,Baltimore MD  21230,P06900,07/10/2015,05/31/2024,,39.283515,,1,-76.627069
747,MIKE'S PHARMACY,8541 FORT SMALLWOOD ROAD,UNIT G,Pasadena MD  21122,P05941,03/06/2013,05/31/2024,,39.154609,,1,-76.517207
748,Mike's Pharmacy II,3820 Mountain Road,unti G,Pasadena MD  21122,P07151,05/04/2016,05/31/2024,,39.124024,,1,-76.523257
749,Milford Street Pharmacy,106 Milford Street,,SALISBURY MD  21804,P08212,01/16/2020,05/31/2024,,38.337379,,1,-75.601536
750,"Millennium Pharmacy Systems, LLC d/b/a PharMerica",7100  COLUMBIA GATEWAY DR STE 100/ 110,,Columbia MD  21046,PW0512,12/07/2017,05/31/2024,,39.174765,,1,-76.807033
751,MIMIKAY PHARMACY,1027 W 36 th ST,SUITE A,Baltimore MD  21211,P06871,07/07/2015,05/31/2024,,39.330951,,1,-76.632905
752,MONUMENT PHARMACY INC,2760 LIGHTHOUSE POINT,SUITE 110,BALTIMORE MD  21224,PW0190,08/24/2001,05/31/2024,,39.278292,,0.95,-76.579117
753,Morrell Park Pharmacy,2519 Washington Blvd,,Baltimore MD  21230,P07972,01/18/2019,05/31/2024,,39.266342,,1,-76.652453
754,MOUNTAIN LAUREL COMMUNITY PHARMACY,1027 MEMORIAL DRIVE,SUITE 100,OAKLAND MD  21550,P06891,08/27/2015,05/31/2024,,39.41744,,1,-79.392368
755,MT CARMEL PHARMACY,111 MT  CARMEL RD,Suite 100,Parkton MD  21120,P01303,08/16/1997,05/31/2024,,39.590795,,1,-76.667513
756,MT HERMON DISCOUNT PHARMACY,1207 Mt. Hermon Road,,Salisbury MD  21804,P04859,12/16/2008,05/31/2024,,38.368264,,1,-75.571931
757,MT VERNON PHARMACY,900 CATHEDRAL ST,,BALTIMORE MD  21201,P02306,04/20/1999,05/31/2024,,39.300022,,1,-76.617638
758,MT VERNON PHARMACY AT FALLSWAY,421 FALLSWAY,,BALTIMORE MD  21202,P05345,09/13/2010,05/31/2024,,39.293797,,1,-76.609358
759,MULVEYS PRESTON PHARMACY INC,243 MAIN STREET,PO BOX 129,PRESTON MD  21655,P01499,05/19/1989,05/31/2024,,38.709157,,1,-75.905211
760,Musgrove Pharmacy,2415 Musgrove Road,Suite 101,Silver Spring MD  20904,P08195,11/19/2019,05/31/2024,,39.067384,,1,-76.960697
761,"MY EXPRESS CARE PHARMACY, LLC",4453  CRAIN HIGHWAY,,White Plains MD  20695,P06894,07/15/2015,05/31/2024,,38.590656,,1,-76.942242
762,Nai Saturn Eastern LLC Safeway Pharmacy #0105,10 KING STREET,,Waldorf MD  20602,P06587,01/30/2015,05/31/2024,,38.60241,,1,-76.903005
763,Nai Saturn Eastern LLC Safeway Pharmacy #0128,151 Walkers Village Way,,Walkersville MD  21793,P06590,01/30/2015,05/31/2024,,39.485031,,1,-77.34175
764,Nai Saturn Eastern LLC Safeway Pharmacy #1089,12251 Darnestown Road,,Gaithersburg MD  20878,P06593,01/31/2015,05/31/2024,,39.119239,,1,-77.255017
765,Nai Saturn Eastern LLC Safeway Pharmacy #1129,10276 S. Maryland Blvd,,Dunkirk MD  20754,P06594,01/31/2015,05/31/2024,,38.716016,,0.7,-76.658377
766,Nai Saturn Eastern LLC Safeway Pharmacy #1281,10000 Baltimore National Pike,,Ellicott City MD  21042,P06595,01/30/2015,05/31/2024,,39.279949,,1,-76.855522
767,Nai Saturn Eastern LLC Safeway Pharmacy #1351,540 Benfield Road,,Severna Park MD  21146,P06598,01/30/2015,05/31/2024,,39.083317,,1,-76.583356
768,Nai Saturn Eastern LLC Safeway Pharmacy #1369,909 Thayer Ave,,Silver Spring MD  20910,P06599,01/30/2015,05/31/2024,,38.993194,,1,-77.024874
769,Nai Saturn Eastern LLC Safeway Pharmacy #1443,8785 Branch Ave,,Clinton MD  20735,P06600,01/31/2015,05/31/2024,,38.76912,,1,-76.889354
770,Nai Saturn Eastern LLC Safeway Pharmacy #1459,4370  Montgomery Road,,Ellicott City MD  21043,P06601,01/31/2015,05/31/2024,,39.25103,,1,-76.818603
771,Nai Saturn Eastern LLC Safeway Pharmacy #1460,1781 Forest Drive,,Annapolis MD  21401,P06602,01/31/2015,05/31/2024,,38.969961,,1,-76.522976
772,Nai Saturn Eastern LLC Safeway Pharmacy #1481,2610 Boston Street,,Baltimore MD  21224,P06603,01/31/2015,05/31/2024,,39.280974,,1,-76.579214
773,Nai Saturn Eastern LLC Safeway Pharmacy #1482,2401 North Charles Street,,Baltimore MD  21218,P06604,01/31/2015,05/31/2024,,39.316589,,1,-76.616471
774,Nai Saturn Eastern LLC Safeway Pharmacy #1513,4401 Harford Road,,Baltimore MD  21214,P06605,01/31/2015,05/31/2024,,39.339592,,1,-76.571568
775,Nai Saturn Eastern LLC Safeway Pharmacy #1539,4211 Mountain Road,,Pasadena MD  21122,P06606,01/31/2015,05/31/2024,,39.120615,,1,-76.514184
776,Nai Saturn Eastern LLC Safeway Pharmacy #1553,5485 Harpers Farm Road,,Columbia MD  21044,P06607,01/30/2015,05/31/2024,,39.222584,,1,-76.889789
777,Nai Saturn Eastern LLC Safeway Pharmay #0107,7595 Greenbelt Road,,Greenbelt MD  20770,P06588,01/30/2015,05/31/2024,,38.992962,,1,-76.876912
778,"NAI SATURN EASTERN, LLC dba SAFEWAY PHARMACY #3257",1800 ROCKVILLE PIKE,SUITE S,Rockville MD  20852,P06958,11/24/2015,05/31/2024,,39.060233,,1,-77.121369
779,"NAI SATURN EASTERN, LLC DBA SAFEWAY PHARMACY #3274",3702 EAST-WEST HIGHWAY,,Hyattsville MD  20782,P06957,02/02/2016,05/31/2024,,38.966694,,1,-76.951083
780,Narmada Inc dba Pulse Pharmacy,8981 Woodyard Road,,Clinton MD  20735,P08041,03/07/2019,05/31/2024,,38.767072,,1,-76.891785
781,Nations Infusion at Home LLC,11521 Cronridge Drive,Suite L-M,Owings Mills MD  21117,P08599,06/13/2022,05/31/2024,,39.440899,,1,-76.772965
782,NAYLOR LANE PHARMACY INC dba WELLCARE  PHARMACY,4000 OLD COURT RD,SUITE 101,Pikesville MD  21208,P06660,11/25/2014,05/31/2024,,39.377748,,1,-76.731077
783,NEW ERA PHARMACY,1436 ADDISON ROAD SOUTH,,CAPITOL HGTS MD  20743,P04041,09/01/2004,05/31/2024,,38.86945,,1,-76.892985
784,NEW MARKET PHARMACY,29015 THREE NOTCH RD,UNIT 7,MECHANICSVILLE MD  20659,P05527,07/14/2011,05/31/2024,,38.46495,,1,-76.77003
785,NEXT DOOR PHARMACY,9918 Reisterstown Rd,,Owings Mills MD  21117,P07952,10/16/2018,05/31/2024,,39.409756,,1,-76.768474
786,NIA RESEARCH PHARMACY,3001 S HANOVER STREET,Room SM-527,BALTIMORE MD  21225,PW0231,03/26/2003,05/31/2024,,39.251885,,1,-76.613987
787,NIKI 2 LLC dba Medsurg Pharmacy,3037 Marshall Hall Road,,Bryans Road MD  20616,P07704,02/01/2018,05/31/2024,,38.628996,,0.9,-77.073193
788,"NORTH EAST DRUGS,LLC",1119 LIGHT STREET,,Baltimore MD  21230,P07201,08/05/2016,05/31/2024,,39.276574,,1,-76.612037
789,NORTH EAST PHARMACY INC,2316 PULASKI HIGHWAY,,North East MD  21901,P06861,05/27/2015,05/31/2024,,39.609477,,1,-75.943824
790,"Northern Pharmacy and Medical Equipment, Inc",6701 Harford Road,,Baltimore MD  21234,P01182,04/01/1985,05/31/2024,,39.363403,,1,-76.551353
791,NORTHERN SPECIAL CARE PHARMACY,7816 HARFORD ROAD,,BALTIMORE MD  21234,PW0245,04/13/2005,05/31/2024,,39.374609,,1,-76.542402
792,NORTHSIDE PHARMACY,707 BRIDGE STREET,,ELKTON MD  21921,P06260,02/07/2014,05/31/2024,,39.617543,,0.9,-75.839084
793,NORTHSIDE PHARMACY LONG TERM CARE,707 N BRIDGE ST,SUITE  C,Elkton MD  21921,PW0485,12/02/2015,05/31/2024,,39.617543,,1,-75.839084
794,Northwest Hospital Center,5401 Old Court Road,,Randallstown MD  21133,P01143,09/26/1984,05/31/2024,,39.358723,,1,-76.781615
795,NUTRI CHOICE PARTNERS INC,2313 DISTRIBUTION CIR,,SILVER SPRING MD  20910,PW0211,12/04/2001,05/31/2024,,39.007056,,1,-77.050236
796,NUTRIVENE PHARMACY,11655 CROSSROADS CIRCLE,Suite T,Middle River MD  21220,PW0360,07/12/2012,05/31/2024,,39.354307,,1,-76.402754
797,Nuworld Pharmacy LLC,1800 N. Charles Street,,Baltimore MD  21201,P07118,04/21/2016,05/31/2024,,39.309958,,1,-76.616877
798,OBRA Pharmacy LLC,15525 New Hampshire Avenue,,Silver Spring MD  20905,P08339,10/26/2020,05/31/2024,,39.110586,,1,-76.995292
799,OLD COURT PHARMACY I,8607 LIBERTY ROAD,,RANDALLSTOWN MD  21133,P02287,02/23/1999,05/31/2024,,39.36131,,1,-76.779535
800,OLNEY PROFESSIONAL PHARMACY INC,18111 PRINCE PHILIP DR,SUITE 100,OLNEY MD  20832,P04031,04/16/2004,05/31/2024,,39.154029,,1,-77.055851
801,OMNICARE OF ANNAPOLIS JUNCTION,9036 JUNCTION DRIVE,,ANNAPOLIS JCT MD  20701,PW0140,04/18/1995,05/31/2024,,39.127466,,1,-76.80562
802,OMNICARE OF SALISBURY,119 W NAYLOR MILL RD,SUITE 7,SALISBURY MD  21801,PW0064,04/14/1992,05/31/2024,,38.409666,,1,-75.570867
803,OPTION CARE,9140 GUILFORD ROAD,SUITE K,COLUMBIA MD  21046,PW0345,09/30/2010,05/31/2024,,39.167471,,1,-76.845024
804,"Optum Infusion Services 103, LLC",9204 BERGER RD,Suite A,Columbia MD  21046,PW0332,01/15/2010,05/31/2024,,39.177465,,1,-76.828466
805,ORCHARD PHARMACY,3350 WILKENS AVENUE,SUITE 200,BALTIMORE MD  21229,P04767,07/24/2008,05/31/2024,,39.273838,,1,-76.673039
806,OSLER MEDICAL PHARMACY,7600 OSLER DRIVE,SUITE 110,TOWSON MD  21204,P04699,12/19/2007,05/31/2024,,39.388263,,1,-76.613783
807,"OUR LIBERTY PHARMACY, LLC",8511 LIBERTY RD,,Randallstown MD  21133,P07957,11/07/2018,05/31/2024,,39.359373,,1,-76.776427
808,PAAS LLC dba Allswell Pharmacy,8 Mountain Road,,Glen Burnie MD  21060,P08173,10/22/2019,05/31/2024,,39.137643,,1,-76.597937
809,PADEK HEALTHCARE PHARMACY,5403 A ANNAPOLIS RD,,BLADENSBURG MD  20710,P04314,08/22/2005,05/31/2024,,38.93878,,1,-76.926948
810,Padek Healthcare Pharmacy II,5814 Baltimore Ave.,,Hyattsville MD  20781,P07870,05/11/2018,05/31/2024,,38.959353,,1,-76.939979
811,PAPERMILL PHARMACY AND GIFT SHOP,3320 PAPERMILL ROAD,,PHOENIX MD  21131,P02329,02/26/1999,05/31/2024,,39.483255,,0.5,-76.577619
812,Paradise Professional Pharmacy Inc.,6350 Frederick Road,Suite B Side Door,Catonsville MD  21228,PW0543,12/02/2022,05/31/2024,,39.276136,,1,-76.717276
813,PARK AVE PHARMACY,1535 PARK AVE,,Baltimore MD  21217,P06708,01/23/2015,05/31/2024,,39.308577,,1,-76.62558
814,Park Lane Pharmacy,4259 Park Heights Ave,,Baltimore MD  21215,P03053,08/07/2002,05/31/2024,,39.338358,,1,-76.665086
815,Park Professional Pharmacy,580 N RITCHIE HWY,,SEVERNA PARK MD  21146,P08670,11/03/2022,05/31/2024,,39.07445,,1,-76.545139
816,PARK WEST MEDICAL CTR INC,3319 W BELVEDERE AVE,,Baltimore MD  21215,P01059,10/08/2002,05/31/2024,,39.348076,,1,-76.677012
817,PARKLAND PHARMACY,6104 Old Silver Hill Road,,District Heights MD  20747,P08541,02/10/2022,05/31/2024,,38.855392,,1,-76.901907
818,"PARKVILLE  PHARMACY, LLC",8118 HARFORD  RD,SUITE B,Parkville MD  21234,P06486,10/28/2014,05/31/2024,,39.378161,,1,-76.539404
819,Patient Care Pharmacy,2047 A  West Street,,Annapolis MD  21401,P07157,06/02/2016,05/31/2024,,38.982352,,1,-76.535777
820,PEMBERTON  PHARMACY & GIFT ST MICHAELS,204  TALBOT  ST,,Saint Michaels MD  21663,P06289,05/13/2014,05/31/2024,,38.787862,,0.9,-76.225453
821,PEMBERTON PHARMACY INC dba PEMBERTON PHARMACY & GIFT,1147 PEMBERTON DR,,SALISBURY MD  21801,P04587,05/24/2007,05/31/2024,,38.367977,,1,-75.61762
822,Peoples Care Pharmacy,2405 E. MONUMENT  STREET,,Baltimore MD  21205,P06393,07/08/2014,05/31/2024,,39.298614,,1,-76.583442
823,PEOPLES CARE PHARMACY,401 E. PATAPSCO  AVE,,Brooklyn MD  21225,P06394,06/30/2014,05/31/2024,,39.236986,,1,-76.605377
824,PHARMACARE INFUSION SERVICES,3 COMMERCE DRIVE,,CUMBERLAND MD  21502,PW0128,11/10/1998,05/31/2024,,39.679421,,1,-78.736565
825,PHARMACARE INSTITUTIONAL SERVICES,3 COMMERCE DRIVE,,Cumberland MD  21502,PW0109,11/02/1998,05/31/2024,,39.679421,,1,-78.736565
826,PHARMACARE OF CUMBERLAND,64 GREENE STREET,,Cumberland MD  21502,P00239,05/01/2001,05/31/2024,,39.649653,,1,-78.765916
827,PHARMACARE OF CUMBERLAND,11306 BEDFORD RD  NE,,Cumberland MD  21502,P00033,10/01/1977,05/31/2024,,39.678961,,1,-78.735847
828,PHARMACARE OF CUMBERLAND - WILLOWBROOK,12502 WILLOWBROOK RD,STE 203,CUMBERLAND MD  21502,P05072,10/23/2009,05/31/2024,,39.649837,,1,-78.732712
829,PHARMACARE OF FROSTBURG,"10601 NEW GEORGES CREEK ROAD, SW",,Frostburg MD  21532,P04502,10/11/2006,05/31/2024,,39.649784,,0.9,-78.909429
830,PHARMACARE SOUTH CUMBERLAND,1100  W. INDUSTRIAL BLVD,,Cumberland MD  21502,P07943,09/28/2018,05/31/2024,,39.630517,,1,-78.748588
831,PHARMACEUTICAL SERVICES OF AMERICA,11514 CHARLTON DR,,SILVER SPRING MD  20902,P01873,03/07/1995,05/31/2024,,39.045632,,1,-77.016226
832,"Pharmaron CPC, Inc.",800 WEST BALTIMORE ST,5TH FLOOR,BALTIMORE MD  21201,PW0504,03/10/2017,05/31/2024,,39.289128,,1,-76.629134
833,PharMerica,3 WASHINGTON STREET,,CAMBRIDGE MD  21613,PW0526,02/27/2020,05/31/2024,,38.561118,,1,-76.06831
834,PharmScript of MD LLC,7085 Samuel Morse Drive,Suite# 110,Columbia MD  21046,PW0509,10/31/2017,05/31/2024,,39.167647,,1,-76.810488
835,PHYSICIANS RX PHARMACY,9701 Apollo Drive,#400,Largo MD  20774,P06366,05/02/2014,05/31/2024,,38.904482,,1,-76.838466
836,PITTSVILLE PHARMACY,34205 E OLD OCEAN CITY ROAD,,PITTSVILLE MD  21850,P05364,08/09/2010,05/31/2024,,38.39118,,1,-75.426069
837,Plumtree Pharmacy,208 Plumtree Road,,Bel Air MD  21015,P08479,08/18/2021,05/31/2024,,39.501818,,1,-76.33085
838,Polaris Pharmacy Services of Maryland LLC,9113 Liberty Road,,Randallstown MD  21133,PW0527,04/16/2020,05/31/2024,,39.369301,,1,-76.8007
839,"Potomac Care Pharmacy, Inc.",12103 Darnestown Road,,Gaithersburg MD  20878,P07217,08/03/2016,05/31/2024,,39.117731,,1,-77.250497
840,POTOMAC PHARMATECH,16107 A ELLIOTT PARKWAY,,WILLIAMSPORT MD  21795,PW0296,01/22/2007,05/31/2024,,39.616487,,1,-77.809593
841,POTOMAC VALLEY PHARMACY,501 N CENTRE ST,,Cumberland MD  21502,P05718,07/02/2012,05/31/2024,,39.657366,,1,-78.769391
842,Premier Care Pharmacy,602 Cherry Hill Road,,Baltimore MD  21225,P08476,08/05/2021,05/31/2024,,39.250531,,1,-76.6221
843,Procare Pharmacy Cosmetic and Beauty System LLC,23213  Stringtown Road,,Clarksburg MD  20871,P08398,02/16/2021,05/31/2024,,39.237566,,1,-77.277009
844,PROFESSIONAL CARE PHARMACY,1514 REISTERSTOWN RD,,Pikesville MD  21208,PW0466,08/04/2014,05/31/2024,,39.378427,,1,-76.727184
845,Professional Pharmacy,9106 Philadelphia Road,Suite 100,Rosedale MD  21237,P07431,11/21/2016,05/31/2024,,39.347509,,1,-76.473444
846,PROHEALTH PHARMACY,4532 ERDMAN AVE,,BALTIMORE MD  21213,P05421,01/24/2011,05/31/2024,,39.310932,,0.9,-76.565287
847,Prosperity Medical and Health System LLC,13922 Baltimore Avenue,,Laurel MD  20707,P08697,01/17/2023,05/31/2024,,39.080995,,1,-76.86526
848,Quadrant Systems LLC dba Eutaw Pharmacy,622 N Eutaw Street,Unit A,Baltimore MD  21201,P07967,11/13/2018,05/31/2024,,39.296393,,1,-76.621648
849,QUALITY CARE PHARMACY,1403 E COLDSPRING LN,STE B,BALTIMORE MD  21239,P05148,02/24/2010,05/31/2024,,39.356356,,0.5,-76.587588
850,"QUALITY OF LIFE PHARMACY & HEALTH, INC",8900 EDGEWORTH DR,UNIT G,CAPITOL HGTS MD  20743,PW0269,01/10/2006,05/31/2024,,38.881926,,1,-76.851975
851,QUARTERFIELD PHARMACY,7671 QUARTERFIELD ROAD  SUITE 103,,Glen Burnie MD  21060,P05936,02/27/2013,05/31/2024,,39.149989,,1,-76.636184
852,REDNER'S PHARMACY,2126 N FOUNTAIN GREEN ROAD,RT 543,Bel Air MD  21015,P04756,06/19/2008,05/31/2024,,39.576892,,1,-76.346091
853,REDNERS PHARMACY,1002 JOPPA FARM ROAD,,JOPPA MD  21085,P04578,05/10/2007,05/31/2024,,39.42163,,1,-76.369838
854,REEDS PHARMACY 3,343 N PENNSYLVANIA AVE,,HANCOCK MD  21750,P04323,09/16/2005,05/31/2024,,39.714316,,1,-78.175374
855,REFUA PHARMACY AND MEDICAL SUPPLY INC,6404 REISTERSTOWN RD,,BALTMORE MD  21215,P05671,03/29/2012,05/31/2024,,39.355396,,1,-76.701515
856,Rehya Health Specifics Inc.,405 FREDERICK ROAD,Suite 1,Catonsville MD  21228,P08007,02/12/2019,05/31/2024,,39.272122,,1,-76.727183
857,REMEDI SENIORCARE,9006 YELLOW BRICK ROAD,SUITE F,BALTIMORE MD  21237,PW0228,11/08/2002,05/31/2024,,39.343734,,1,-76.474078
858,"RescueMeds, LLC",1994 Moreland Parkway,Suite 3B,Annapolis MD  21401,P08491,09/15/2021,05/31/2024,,38.98387,,1,-76.528202
859,RIDGELY PHARMACY LLC,7 WEST BELLE STREET,,RIDGELY MD  21660,P04033,04/30/2004,05/31/2024,,38.947315,,0.81,-75.886642
